symbol,name,industry,close,marketCap,aboveSma12m,aboveSma200,aboveSma150,vcp,contractions,volatilityRatio,pe,peTrend,fcf,fcfTrend,eps,epsTrend,freeFloatPct,closelyHeldPct,employees,rulesPassed,rulesTotal,score
WRB,W.R. Berkley Corporation Common Stock,Finance,69.75,25893120148,true,true,true,false,11,1.01,,unknown,,unknown,,unknown,,,8804,6,12,5
NTRS,Northern Trust Corporation Common Stock,Finance,191.47,35030518880,true,true,true,false,13,0.1,,unknown,,unknown,,unknown,,,23800,6,12,5
DXCM,DexCom Inc. Common Stock,Health Care,88.76,33494541501,true,true,true,false,6,5.44,,unknown,,unknown,,unknown,,,11100,6,12,5
FTS,Fortis Inc. Common Shares,Utilities,56.44,28835196000,true,true,true,false,9,3.93,,unknown,,unknown,,unknown,,,9200,6,12,5
CRDO,Credo Technology Group Holding Ltd Ordinary Shares,Technology,282.82,52739679112,true,true,true,false,11,3.06,,unknown,,unknown,,unknown,,,807,6,12,5
ZM,Zoom Communications Inc. Class A Common Stock,Technology,105.56,30953592932,true,true,true,false,9,2.31,,unknown,,unknown,,unknown,,,7438,6,12,5
BIIB,Biogen Inc. Common Stock,Health Care,209.15,30902748682,true,true,true,false,12,4.36,,unknown,,unknown,,unknown,,,7500,6,12,5
CQP,Cheniere Energy Partners LP Common Units,Utilities,67.63,32736822522,true,true,true,false,10,0.32,,unknown,,unknown,,unknown,,,1717,6,12,5
CINF,Cincinnati Financial Corporation Common Stock,Finance,171.06,26253954378,true,true,true,false,7,0.96,,unknown,,unknown,,unknown,,,5705,6,12,5
CFG,Citizens Financial Group Inc. Common Stock,Finance,74.31,31297647116,true,true,true,false,13,0.34,,unknown,,unknown,,unknown,,,17398,6,12,5
STLD,Steel Dynamics Inc.,Industrials,258.16,37001579198,true,true,true,false,9,1.62,,unknown,,unknown,,unknown,,,14400,6,12,5
AWK,American Water Works Company Inc. Common Stock,Utilities,134.35,26699239672,true,true,true,false,10,2.14,,unknown,,unknown,,unknown,,,7000,6,12,5
VLTO,Veralto Corp Common Stock ,Industrials,96.75,23587006032,true,true,true,false,12,0.17,,unknown,,unknown,,unknown,,,17000,6,12,5
ES,Eversource Energy (D/B/A) Common Stock,Utilities,71.91,27086681560,true,true,true,false,10,4.28,,unknown,,unknown,,unknown,,,10731,6,12,5
JBL,Jabil Inc. Common Stock,Technology,369.89,38759696350,true,true,true,false,11,4.3,,unknown,,unknown,,unknown,,,135000,6,12,5
STE,STERIS plc (Ireland) Ordinary Shares,Health Care,229.75,22400650273,true,true,true,false,10,7.7,,unknown,,unknown,,unknown,,,17937,6,12,5
AFRM,Affirm Holdings Inc. Class A Common Stock,Finance,74.52,24956641064,true,true,true,false,14,6.73,,unknown,,unknown,,unknown,,,2206,6,12,5
TPG,TPG Inc. Class A Common Stock,Finance,51.77,19564854516,true,true,true,false,13,67.3,,unknown,,unknown,,unknown,,,1900,6,12,5
DLTR,Dollar Tree Inc. Common Stock,Consumer Discretionary,129.54,24894296130,true,true,true,false,16,0.37,,unknown,,unknown,,unknown,,,153032,6,12,5
RF,Regions Financial Corporation Common Stock,Finance,31.7,27006165340,true,true,true,false,14,0.11,,unknown,,unknown,,unknown,,,19969,6,12,5
TDY,Teledyne Technologies Incorporated Common Stock,Industrials,677.27,31395306653,true,true,true,false,13,0.23,,unknown,,unknown,,unknown,,,15800,6,12,5
IRM,Iron Mountain Incorporated (Delaware)Common Stock REIT,Real Estate,129.9,38671595279,true,true,true,false,12,0.47,,unknown,,unknown,,unknown,,,29400,6,12,5
HUBB,Hubbell Inc Common Stock,Technology,504.3,26643465555,true,true,true,false,11,0.75,,unknown,,unknown,,unknown,,,18000,6,12,5
OWL,Blue Owl Capital Inc. Class A Common Stock,Finance,11.66,18179015320,true,true,true,false,16,4.68,,unknown,,unknown,,unknown,,,1365,6,12,5
